@RELATION AccelerometerData

@ATTRIBUTE aXstd  NUMERIC 
@ATTRIBUTE aYstd   NUMERIC 
@ATTRIBUTE aZstd  NUMERIC
@ATTRIBUTE aXrange  NUMERIC 
@ATTRIBUTE aYrange   NUMERIC 
@ATTRIBUTE aZrange  NUMERIC 
@ATTRIBUTE label   NUMERIC 

@Data
0.040188369,0.059751555,0.113883264,0.153229,0.287304,0.40222,0
0.040208337,0.0594129,0.112390627,0.153229,0.287304,0.40222,0
0.037518028,0.0597995,0.103651096,0.153229,0.287304,0.37349,0
0.037518028,0.062035275,0.098571292,0.153229,0.287304,0.37349,0
0.03940198,0.06220506,0.099197201,0.172383,0.287304,0.37349,0
0.039439764,0.061887247,0.10940185,0.172383,0.287304,0.40222,0
0.039541351,0.060954005,0.112846442,0.172383,0.287304,0.40222,0
0.034513093,0.062761036,0.112846442,0.134076,0.287304,0.40222,0
0.040048359,0.063342857,0.112701241,0.153229,0.287304,0.40222,0
0.040774618,0.046511601,0.106421957,0.153229,0.172382,0.40222,0
0.039253263,0.045454473,0.101272831,0.153229,0.172382,0.40222,0
0.039706281,0.045110166,0.101272831,0.153229,0.172382,0.40222,0
0.038483464,0.039864668,0.091201152,0.153229,0.153228,0.38307,0
0.039355383,0.039763882,0.091887293,0.153229,0.153228,0.38307,0
0.039763996,0.036088171,0.090776403,0.153229,0.143652,0.38307,0
0.040450026,0.036627352,0.091199755,0.153229,0.143652,0.38307,0
0.039763996,0.036627352,0.08881118,0.153229,0.143652,0.38307,0
0.040074156,0.037201909,0.090917197,0.153229,0.143652,0.38307,0
0.038295329,0.038697284,0.094050613,0.153229,0.143652,0.38307,0
0.03499148,0.038697284,0.092813817,0.124498,0.143652,0.38307,0
0.034566246,0.039602128,0.089912754,0.124498,0.143652,0.33519,0
0.036021428,0.039541287,0.085970464,0.134075,0.143652,0.31603,0
0.035611714,0.03967155,0.08446513,0.134075,0.143652,0.31603,0
0.035740256,0.037386338,0.084448767,0.134075,0.143652,0.31603,0
0.034031354,0.037858664,0.084333324,0.134075,0.143652,0.31603,0
0.033240598,0.037517987,0.076697308,0.134075,0.143652,0.25857,0
0.031530835,0.039285284,0.070859679,0.134075,0.153229,0.25857,0
0.032771748,0.037041215,0.069645467,0.134075,0.124498,0.25857,0
0.028409434,0.035765783,0.068221692,0.095768,0.124498,0.25857,0
0.027739723,0.033532445,0.068342508,0.095768,0.124498,0.25857,0
0.02845372,0.032462381,0.070106347,0.095768,0.124498,0.25857,0
0.031946187,0.032515311,0.073489532,0.114922,0.124498,0.25857,0
0.031946187,0.031974878,0.073264442,0.114922,0.124498,0.25857,0
0.031106165,0.031974878,0.071626778,0.114922,0.124498,0.25857,0
0.034263018,0.031974878,0.070859172,0.114922,0.124498,0.25857,0
0.034048181,0.030750335,0.068625447,0.114922,0.124498,0.25857,0
0.034846898,0.033760733,0.06765648,0.114922,0.124498,0.25857,0
0.033570053,0.036501881,0.065478055,0.114922,0.124498,0.25857,0
0.033570053,0.038187222,0.069085071,0.114922,0.124498,0.25857,0
0.031165067,0.038483288,0.067303256,0.105345,0.124498,0.25857,0
0.031165067,0.038054895,0.061803223,0.105345,0.124498,0.25857,0
0.030052685,0.037472011,0.060056752,0.105345,0.124498,0.25857,0
0.029826755,0.038124143,0.058964525,0.105345,0.124498,0.25857,0
0.028129552,0.038124143,0.058666438,0.095768,0.124498,0.25857,0
0.027523917,0.039147834,0.059304078,0.095768,0.124498,0.25857,0
0.030476966,0.040165432,0.05554469,0.105345,0.124498,0.22026,0
0.030450623,0.038771184,0.057778479,0.105345,0.124498,0.22026,0
0.032320832,0.034675365,0.059056002,0.105345,0.105345,0.22026,0
0.030806241,0.039425099,0.082563571,0.095768,0.143652,0.42137,0
0.033161263,0.045575376,0.084766981,0.124499,0.201113,0.42137,0
0.0329358,0.043284005,0.097008419,0.124499,0.201113,0.48841,0
0.033709909,0.042817976,0.094410491,0.124499,0.201113,0.48841,0
0.037716143,0.042535936,0.102613753,0.143652,0.201113,0.48841,0
0.037140275,0.041678288,0.107475856,0.143652,0.201113,0.48841,0
0.037325,0.041678288,0.107430003,0.143652,0.201113,0.48841,0
0.039241594,0.045738566,0.109606299,0.143652,0.201113,0.48841,0
0.03901894,0.045514959,0.109740046,0.143652,0.201113,0.48841,0
0.038649895,0.044947219,0.109505765,0.143652,0.201113,0.48841,0
0.038649895,0.045716047,0.107467367,0.143652,0.201113,0.48841,0
0.038735821,0.045716047,0.109823396,0.143652,0.201113,0.48841,0
0.038292333,0.048691203,0.109610193,0.143652,0.201113,0.48841,0
0.038292333,0.048670009,0.108958816,0.143652,0.201113,0.48841,0
0.038367092,0.048670009,0.108922078,0.143652,0.201113,0.48841,0
